label	text_a
2	1万那
3	路桥川
4	离离原
1	沐妈妈
4	章余飞
2	交流学习
1	诶这个我看过
1	师傅别刮了
5	可愛啊
5	上热门了
1	不愧是你一斗
1	我中学校服
1	诶莫扎特
1	好奇怪啊哈哈
0	无敌的星吞叕
2	反手一个制裁
3	修路你得赞助
3	好敬业
3	开挂的你
4	健康平安
5	体力活
4	掘地求蛏
2	不需要
4	黄骨鱼
4	坐等吃席
4	青岛人很熟悉
1	怎能如此相像
1	芜湖帅
0	格迪斯
4	汁er
4	和炸猪皮一样
3	画不是我自己
1	谢谢护体
5	你给路达哟
4	第二盘
1	fakerwhatwasthat
4	海茄子而已吧
1	惊心打扮
2	这就叫砖业
3	乖得很
0	非常河里
1	手绘牛逼
3	这些很好吃啊
1	冷洌骨的舞娘
1	我不跟你强
4	探店2合1
0	想看狼堡
3	复印件
2	喀喀喀喀喀喀水
4	削敦敦
4	内卷区阿婆主
5	热爱生活
1	银他妈有大招
3	老爸大战僵尸
4	免单都不会
5	哇啊啊啊啊啊
0	过凯开
0	土豆饼
1	bgmlovemenot
4	阿雷马
4	小伙伴煮的
0	saber误
3	那就卖锤子吧
4	从心火包
4	喷子的下场
1	哈哈穿山甲呀
4	老拉家
5	正式版
4	信球是啥呀
1	好玩的一批
1	khan
5	发达国家
0	666恭喜
2	好多了
4	晚餐升华
3	我直呼我直呼
5	齐天大圣
2	V咯格
1	西思塔
4	关公巡城
3	有水果吃划算
1	一棒超人
4	只知道乌鸡哥
4	看着罗汉果
4	快去快去
4	第三碗了
3	转个圈
3	听我话快跑
1	卧槽直接神话
1	三万三人
3	好爱树
4	店员不戴口罩
3	没树过
1	瓜分波兰
4	完事顺利
3	建议沾点干粉
1	我抄乔丹
4	化学武器
2	6S依然坚挺
4	都是血
3	猛男你好
1	彩六下
2	8gen
3	封解主
4	一头稀饭
2	喷一宿
1	不要慌大家
4	肯定成
1	萌龙大乱斗
4	那桐题
0	魂限冥
3	電磁爐
3	这是渊吧
4	我就是你朋友
5	有着落
4	小李子是对的
3	又骗我生女鹅
1	可惜没有玩到
1	回了回了
1	二十世纪少年
4	他说你二呢
1	中国man
1	收到王哥
5	伏拉夫
4	浅嘬一口
2	4090tiiiiiiiiiiiii
1	我没车白嫖了
0	企图将我劝阻
3	红浪漫
1	甄起来了
4	我们家
4	没呢唉
4	哭天抢地
3	玛莎拉原料
1	好病态呀
1	姐姐厉害
3	建议别出门
4	跑步消化
3	48万我的天
2	可惜破芯片
3	一百块打水漂
4	家庭帝位
3	一群很多很多
4	抢钱啊
1	bestmatch
1	笨王神盾
4	穿得好少啊
1	VISA1
3	成华大道
4	坐着犹如喽啰
4	甲不比
4	像蝴蝶酥
1	抓他哈哈哈
1	想加个
4	还是左手
4	用热水比较好
2	好几百万
1	有点像龙王诶
1	眼镜呢
0	准哥真
4	巴斯克
2	米10u牛逼
1	差点寄了
1	精五绿刀
3	瑶的法杖
4	白菜叶
4	真的落魄了
3	哈辣少
4	变螺狮
1	恭喜榜一大哥
4	十八岁小乳鸽
3	真开箱UP主
3	三月三扫墓
3	数电模
1	问题不大的
0	屋机娘
4	章鱼章鱼
1	确实是歧视
4	食道烫伤
0	格纳库哈哈哈
3	梧州错付了
2	升格王
1	反向提神
3	上不来气了
4	七哥的歌
4	吃得开
4	将军贝
4	才发现涨价了
5	小家子气
4	兰尼真可爱
4	皮肚面
2	noteab
2	有钱没处花
4	厉害啊波波
1	害怕起来了
1	琦玉老师
0	提四皇
4	提前落魄了
4	煤老板
3	纯属有病
1	艺术字
2	心电图就离谱
4	死因挺瘦的
4	奥利奥冰淇淋
5	注意安全啊
3	前提是你有钱
1	的璃月
4	爱朗姆酒
1	草我的叶
1	不知悔改
1	高能部分开始
2	天机天机
4	一样一个
4	想念葱包烩
3	那就盖个工厂
1	年龄45
0	久弥给
4	侄女胖了
5	你们好
0	云天明四杀了
1	散人还会打鼓
0	夸起来
1	不得而知
1	金轮嘴好软
4	进千寻
4	红尖叫啊
1	刚刚玩过
3	棒子还是算了
1	龙之谷在哪里
0	全太强
2	买手机
2	865水平
5	考驾照
0	一眼刀
4	找的不错hh
3	这小镇挺好的
5	多花钱
0	现在随便爽了
3	我不需要
4	很米其林啊
4	风见鸡
3	价钱不好
4	长见识就不亏
3	当靶子
0	这音效牛啊
1	环世界
3	咸党万岁
3	抱照片
1	你是章鱼哥
3	我尼玛这么大
1	气成米老鼠
1	面包狗草草草
1	eet
3	45路吗
1	昵称中二瞩目
1	一个星期
4	蟹棒就是鱼糜
3	这里说的好
3	电瓶车周某
4	中文表达缺失
3	moneyok
2	这太会了
5	我喜欢
2	lih了0l
1	大方向
4	皇帝的新友
2	对标小米是吧
3	天了噜
3	可以到处跑
1	CD46sdoge
3	强行适合
2	oneUI
0	两小只好可爱
1	大凶兆
1	看蓝量
4	马老师
4	低俗小说
1	能天使高达
1	好哥哥可还行
2	确实挺好看
3	地基好哈哈
3	我来喽
4	15w离谱
2	已经想睡觉了
4	给老子点
3	汤姆不妙屋
1	RNG
0	日和她娘啊
1	我超女士
0	舍不得眨眼
1	双重加密
4	麻油一百
3	小鲨鱼啃脚
1	什么阴间家庭
3	保安室
3	卡点大师
2	1214
0	狗狗哈哈
1	素质美丽卡
3	中国方案
0	纸巾好戏
1	好讽刺的游戏
1	全玩过加一
3	200C
2	shocker
1	海龟直接吃
2	直播间神器
4	强行安慰自己
1	血红峰会
4	超爱格
4	生怕你吃饱了
3	七八万
2	这他妈能玩
1	吕蒙会输的
5	收藏了
4	重点是能吃
4	深山老林
1	呐呐呐好耶
4	虾皮补钙噢
0	uid
3	这家是土豪啊
3	这个反应快
0	欧布yyds
4	肝硬化了
1	舅舅tf2吧
1	首先是首先
3	多钱建
3	肯定是云台啊
3	有4G么
0	建不起
4	百核果
1	靠哈哈哈哈
1	赶紧充钱
0	幻影猫
4	空降103
4	一元人民币
5	大富翁
1	按错了吧
0	合模线
3	qichuan
0	这个声音好绝
0	无限小
0	我会选报幕的
1	闭游宫
0	形意拳
1	v5捡漏的神
5	亚特兰
1	nnnd
2	283
1	木风圆万口十
1	厕所会有纱窗
3	一护狂喜
4	没落了
3	285个
4	天呐肉
5	五毛钱
1	收残血
4	jiaokao
4	绝啦啊
4	老婆好帅
4	fa式
2	RNN
2	啊这抽我
1	张飞大哥二哥
3	队友好惨
0	你被解雇了
4	七块钱
4	它要打你了
3	研磨膏
4	火山石烤肠
3	量产我买
4	龙筋那我呢
1	散人夺笋啊
3	大一还有跑操
4	好的爱吃螺
4	帅哥又来了
3	女将军
4	银魂里
4	你们都很带劲
1	閉目等死
4	OMG没吃过
4	王刚好儿子
4	挺能吃的啊
1	这个设定
1	双核流打法
2	女生自用风格
4	福州人狂喜
1	梅川酷子
4	发贵儿
1	杜小狗
4	甜党狂喜
3	三连关注走起
4	滴ian
4	血亏狗刷起来
0	美女嫁给我
4	您好细
1	老板糊涂哇
0	市场营销哭了
3	这风景不错
2	DRO
5	壹之型
4	零度多穿点哇
2	看一波
4	大庆赌场开盘
5	多动症
3	妓夫太郎
2	五分钟牛啊
3	水箱掉了哈哈
0	那会是中村
1	takeitoff
4	板蓝根是吧
4	都是海鲜
1	566
5	好湿好湿
4	高加索
1	什么码数呢
4	牛皮炸了
0	A第六感
4	开工曲
3	教他们烤鱼吧
4	泔尽又喂牲
4	手部体温加热
1	音乐挺好听的
1	understand
0	还是克苏鲁吧
4	妯娌发音好棒
3	镝镝女士
3	鹰逃啸嘴
3	坚持住
1	欸左边左边
2	中吧猫三
1	这好像是天
4	痴不忘
3	第一次这么快
1	鳄鱼笑哈哈
1	每年都要砍头
1	探险时光
3	看这地板天哪
1	股四线五
1	爱心大发射
4	哈哈哈讲究人
4	全是胡椒粉
4	她嘴巴嘟嘟
2	哈希碰撞
1	弹幕啊
1	dota2
0	雷吉颅
1	猩之卡猴
5	呜泪目
4	幸福的样子
4	koa
2	cook
4	神仙身材
1	你妈补天不是
3	中国空军
4	不会被打吗
4	那是排泄口
1	这饭对胃了
3	q亲民
4	糖果1
2	垂耳兔
0	外接圆
3	中考高考公考
0	这不是老檀吗
2	tm1000
4	不臭香
3	租两套房
5	意味深长
3	大型拜年现场
3	这个衣柜好绝
3	抢高斯绝了
3	禁止欧尼酱
4	姬朵拉
1	marenol
4	左手拿冰讲究
3	高达路由器
3	水干净啊
0	可恶的亚波人
